select_dt,start_dt,end_dt,select_code,remarks
2015-12-25,2015-12-28,2016-01-29,"['600315', '002399', '000046', '000858', '600104', '600048', '000538']",alpha_hs300
2016-01-29,2016-02-01,2016-02-26,"['600315', '002399', '000046', '000858', '600048', '000538', '000413']",alpha_hs300
2016-02-26,2016-02-29,2016-03-25,"['600315', '002399', '000046', '000858', '600048', '000413', '600837']",alpha_hs300
2016-03-25,2016-03-28,2016-04-29,"['600315', '002399', '000046', '600048', '000413', '600837', '000895']",alpha_hs300
2016-04-29,2016-05-03,2016-05-27,"['600315', '002399', '000046', '600048', '600837', '000895', '600221']",alpha_hs300
2016-05-27,2016-05-30,2016-06-24,"['600315', '002399', '000046', '600837', '000895', '600221', '601939']",alpha_hs300
2016-06-24,2016-06-27,2016-07-29,"['002399', '000046', '600837', '000895', '600221', '601939', '600519']",alpha_hs300
2016-07-29,2016-08-01,2016-08-26,"['000046', '600837', '000895', '600221', '601939', '600519', '600867']",alpha_hs300
2016-08-26,2016-08-29,2016-09-30,"['000046', '600837', '000895', '600221', '601939', '600867', '000503']",alpha_hs300
2016-09-30,2016-10-10,2016-10-28,"['000046', '600837', '000895', '601939', '600867', '000503', '000725']",alpha_hs300
2016-10-28,2016-10-31,2016-11-25,"['600837', '000895', '601939', '600867', '000503', '000725', '601668']",alpha_hs300
2016-11-25,2016-11-28,2016-12-30,"['600837', '000895', '601939', '600867', '000725', '601668', '000778']",alpha_hs300
2016-12-30,2017-01-03,2017-01-26,"['600837', '000895', '601939', '600867', '000725', '000778', '600519']",alpha_hs300
2017-01-26,2017-02-03,2017-02-24,"['600837', '000895', '601939', '000725', '000778', '600519', '601958']",alpha_hs300
2017-02-24,2017-02-27,2017-03-31,"['600837', '000895', '601939', '000725', '000778', '600519', '600029']",alpha_hs300
2017-03-31,2017-04-05,2017-04-28,"['000895', '601939', '000725', '000778', '600519', '600029', '600741']",alpha_hs300
2017-04-28,2017-05-02,2017-05-26,"['601939', '000725', '000778', '600519', '600029', '600741', '600010']",alpha_hs300
2017-05-26,2017-05-31,2017-06-30,"['601939', '000725', '000778', '600519', '600029', '600741', '601318']",alpha_hs300
2017-06-30,2017-07-03,2017-07-28,"['601939', '000778', '600519', '600029', '600741', '601318', '000651']",alpha_hs300
2017-07-28,2017-07-31,2017-08-25,"['601939', '000778', '600519', '600029', '600741', '000651', '600010']",alpha_hs300
2017-08-25,2017-08-28,2017-09-29,"['601939', '000778', '600519', '600029', '600741', '600010', '600030']",alpha_hs300
2017-09-29,2017-10-09,2017-10-27,"['601939', '000778', '600519', '600029', '600741', '600030', '600816']",alpha_hs300
2017-10-27,2017-10-30,2017-11-24,"['601939', '000778', '600519', '600029', '600741', '600816', '601398']",alpha_hs300
2017-11-24,2017-11-27,2017-12-29,"['601939', '000778', '600519', '600029', '600741', '601398', '600115']",alpha_hs300
2017-12-29,2018-01-02,2018-01-26,"['601939', '000778', '600519', '600029', '601398', '600115', '601857']",alpha_hs300
2018-01-26,2018-01-29,2018-02-23,"['601939', '000778', '600029', '601398', '600115', '601857', '601006']",alpha_hs300
2018-02-23,2018-02-26,2018-03-30,"['601939', '000778', '600029', '601398', '601857', '601006', '300136']",alpha_hs300
2018-03-30,2018-04-02,2018-04-27,"['601939', '000778', '600029', '601398', '601857', '300136', '600271']",alpha_hs300
2018-04-27,2018-05-02,2018-05-25,"['601939', '000778', '600029', '601398', '601857', '300136', '600157']",alpha_hs300
2018-05-25,2018-05-28,2018-06-29,"['601939', '000778', '600029', '601398', '601857', '300136', '600519']",alpha_hs300
2018-06-29,2018-07-02,2018-07-27,"['601939', '000778', '601398', '601857', '300136', '600519', '002841']",alpha_hs300
2018-07-27,2018-07-30,2018-08-31,"['601939', '000778', '601398', '601857', '600519', '002841', '603160']",alpha_hs300
2018-08-31,2018-09-03,2018-09-28,"['601939', '000778', '601398', '601857', '600519', '002841', '600016']",alpha_hs300
2018-09-28,2018-10-08,2018-10-26,"['601939', '000778', '601398', '601857', '002841', '600016', '600010']",alpha_hs300
2018-10-26,2018-10-29,2018-11-30,"['601939', '000778', '601398', '002841', '600016', '600010', '000413']",alpha_hs300
2018-11-30,2018-12-03,2018-12-28,"['601939', '000778', '601398', '002841', '600016', '000413', '002625']",alpha_hs300
2018-12-28,2019-01-02,2019-01-25,"['601939', '000778', '601398', '002841', '600016', '002625', '600519']",alpha_hs300
2019-01-25,2019-01-28,2019-02-22,"['601939', '000778', '601398', '002841', '600016', '600519', '000839']",alpha_hs300
2019-02-22,2019-02-25,2019-03-29,"['000778', '601398', '002841', '600016', '600519', '000839', '601155']",alpha_hs300
2015-12-25,2015-12-28,2016-01-29,"['600104', '600048', '601628', '600016', '600837', '601166', '600015']",alpha_sh50
2016-01-29,2016-02-01,2016-02-26,"['600048', '601628', '600016', '600837', '601166', '600015', '601688']",alpha_sh50
2016-02-26,2016-02-29,2016-03-25,"['600048', '601628', '600016', '600837', '601166', '600015', '601288']",alpha_sh50
2016-03-25,2016-03-28,2016-04-29,"['601628', '600016', '600837', '601166', '600015', '601288', '600018']",alpha_sh50
2016-04-29,2016-05-03,2016-05-27,"['601628', '600016', '600837', '601166', '601288', '600018', '600519']",alpha_sh50
2016-05-27,2016-05-30,2016-06-24,"['601628', '600016', '600837', '601288', '600018', '600519', '601688']",alpha_sh50
2016-06-24,2016-06-27,2016-07-29,"['601628', '600016', '600837', '600018', '600519', '601688', '601857']",alpha_sh50
2016-07-29,2016-08-01,2016-08-26,"['600016', '600837', '600018', '600519', '601688', '601857', '601998']",alpha_sh50
2016-08-26,2016-08-29,2016-09-30,"['600016', '600837', '600018', '600519', '601857', '601998', '601668']",alpha_sh50
2016-09-30,2016-10-10,2016-10-28,"['600016', '600837', '600018', '600519', '601857', '601668', '600050']",alpha_sh50
2016-10-28,2016-10-31,2016-11-25,"['600016', '600837', '600018', '600519', '601668', '600050', '600030']",alpha_sh50
2016-11-25,2016-11-28,2016-12-30,"['600016', '600837', '600018', '600519', '601668', '600050', '601006']",alpha_sh50
2016-12-30,2017-01-03,2017-01-26,"['600016', '600837', '600018', '600519', '601668', '601006', '600029']",alpha_sh50
2017-01-26,2017-02-03,2017-02-24,"['600837', '600018', '600519', '601668', '601006', '600029', '601901']",alpha_sh50
2017-02-24,2017-02-27,2017-03-31,"['600837', '600018', '600519', '601668', '601006', '600029', '600050']",alpha_sh50
2017-03-31,2017-04-05,2017-04-28,"['600018', '600519', '601668', '601006', '600029', '600050', '600048']",alpha_sh50
2017-04-28,2017-05-02,2017-05-26,"['600018', '600519', '601006', '600029', '600050', '600048', '601318']",alpha_sh50
2017-05-26,2017-05-31,2017-06-30,"['600018', '600519', '600029', '600050', '600048', '601318', '600028']",alpha_sh50
2017-06-30,2017-07-03,2017-07-28,"['600018', '600519', '600029', '600050', '601318', '600028', '600030']",alpha_sh50
2017-07-28,2017-07-31,2017-08-25,"['600018', '600519', '600029', '600050', '601318', '600028', '600340']",alpha_sh50
2017-08-25,2017-08-28,2017-09-29,"['600018', '600519', '600029', '601318', '600028', '600340', '600030']",alpha_sh50
2017-09-29,2017-10-09,2017-10-27,"['600018', '600519', '600029', '601318', '600028', '600030', '600887']",alpha_sh50
2017-10-27,2017-10-30,2017-11-24,"['600018', '600519', '600029', '601318', '600028', '600887', '601398']",alpha_sh50
2017-11-24,2017-11-27,2017-12-29,"['600018', '600519', '600029', '601318', '600028', '601398', '601988']",alpha_sh50
2017-12-29,2018-01-02,2018-01-26,"['600018', '600519', '600029', '600028', '601398', '601988', '601857']",alpha_sh50
2018-01-26,2018-01-29,2018-02-23,"['600018', '600029', '600028', '601398', '601988', '601857', '601006']",alpha_sh50
2018-02-23,2018-02-26,2018-03-30,"['600018', '600028', '601398', '601988', '601857', '601006', '601800']",alpha_sh50
2018-03-30,2018-04-02,2018-04-27,"['600018', '600028', '601398', '601857', '601006', '601800', '600104']",alpha_sh50
2018-04-27,2018-05-02,2018-05-25,"['600018', '600028', '601398', '601857', '601006', '600104', '600036']",alpha_sh50
2018-05-25,2018-05-28,2018-06-29,"['600018', '600028', '601398', '601006', '600104', '600036', '600519']",alpha_sh50
2018-06-29,2018-07-02,2018-07-27,"['600018', '601398', '601006', '600104', '600036', '600519', '600703']",alpha_sh50
2018-07-27,2018-07-30,2018-08-31,"['600018', '601398', '601006', '600036', '600519', '600703', '601857']",alpha_sh50
2018-08-31,2018-09-03,2018-09-28,"['600018', '601398', '601006', '600036', '600519', '601857', '600016']",alpha_sh50
2018-09-28,2018-10-08,2018-10-26,"['600018', '601398', '601006', '600036', '601857', '600016', '600104']",alpha_sh50
2018-10-26,2018-10-29,2018-11-30,"['600018', '601398', '601006', '600036', '601857', '600016', '600340']",alpha_sh50
2018-11-30,2018-12-03,2018-12-28,"['600018', '601398', '601006', '601857', '600016', '600340', '600519']",alpha_sh50
2018-12-28,2019-01-02,2019-01-25,"['600018', '601398', '601006', '600016', '600340', '600519', '601939']",alpha_sh50
2019-01-25,2019-01-28,2019-02-22,"['600018', '601398', '601006', '600016', '600340', '601939', '601318']",alpha_sh50
2019-02-22,2019-02-25,2019-03-29,"['600018', '601398', '600016', '600340', '601939', '601318', '600030']",alpha_sh50
2019-03-29,2019-04-01,2019-04-26,"['601939', '000778', '601398', '002841', '600016', '600519', '002142']",alpha_hs300
2019-03-29,2019-04-01,2019-04-26,"['600018', '601398', '601006', '600340', '601939', '601318', '600029']",alpha_sh50
2019-04-26,2019-04-29,2019-05-31,"['000778', '601398', '002841', '600519', '000839', '601155', '002625']",alpha_hs300
2019-04-26,2019-04-29,2019-05-31,"['600018', '601398', '600340', '601939', '601318', '600030', '600606']",alpha_sh50
2019-03-29,2019-04-01,2019-04-26,"['601939', '000778', '601398', '002841', '600016', '600519', '002142']",alpha_hs300
2019-03-29,2019-04-01,2019-04-26,"['000778', '601398', '002841', '600016', '600519', '002142', '000001']",alpha_hs300
2019-03-29,2019-04-01,2019-04-26,"['600018', '601398', '601006', '600340', '601939', '601318', '600029']",alpha_sh50
2019-03-29,2019-04-01,2019-04-26,"['600018', '601398', '600340', '601939', '601318', '600029', '601601']",alpha_sh50
